backbone,level,easy_ap_percent,medium_ap_percent,hard_ap_percent,est_size_mb,selected
mobilenetv1,float32,90.59,89.13,83.94,15.87,False
mobilenetv1,c256,90.72,89.29,83.93,16.01,False
mobilenetv1,c128,90.62,89.31,83.95,9.53,False
mobilenetv1,c64,90.81,89.35,84.03,6.04,False
mobilenetv1,c32,90.64,89.34,84.16,4.05,False
mobilenetv1,c16,90.57,89.06,83.57,2.81,False
mobilenetv1,c12,90.44,88.93,83.8,2.63,False
mobilenetv1,c8,90.34,88.97,83.59,1.95,False
mobilenetv1,c7,90.37,88.81,82.79,1.9,True
mobilenetv1,c6,89.43,87.96,82.33,1.85,False
mobilenetv1,c5,89.85,88.37,82.53,1.81,False
mobilenetv1,c4,88.5,87.05,81.45,1.27,False
mobilenetv1,c3,87.64,86.06,80.18,1.22,False
mobilenetv1,c2,82.24,80.91,72.91,0.68,False
mobilenetv1_0.25,float32,88.48,87.01,80.4,1.63,False
mobilenetv1_0.25,c256,88.76,87.38,80.68,3.79,False
mobilenetv1_0.25,c128,88.87,87.44,80.72,2.06,False
mobilenetv1_0.25,c64,88.41,87.11,80.77,1.17,False
mobilenetv1_0.25,c32,88.16,86.61,80.4,0.7,False
mobilenetv1_0.25,c16,88.31,86.7,80.26,0.44,False
mobilenetv1_0.25,c12,88.7,86.88,80.37,0.38,True
mobilenetv1_0.25,c8,87.69,86.33,78.5,0.28,False
mobilenetv1_0.25,c7,87.11,85.44,79.15,0.27,False
mobilenetv1_0.25,c6,85.99,84.39,76.71,0.25,False
mobilenetv1_0.25,c5,86.28,84.73,77.04,0.24,False
mobilenetv1_0.25,c4,85.17,83.41,73.93,0.18,False
mobilenetv1_0.25,c3,74.76,74.1,68.68,0.17,False
mobilenetv1_0.25,c2,65.44,60.04,46.98,0.1,False
mobilenetv1_0.50,float32,89.44,87.98,82.22,6.32,False
mobilenetv1_0.50,c256,89.45,87.98,82.63,8.24,False
mobilenetv1_0.50,c128,89.32,87.88,82.13,4.74,False
mobilenetv1_0.50,c64,89.15,87.69,82.22,2.88,False
mobilenetv1_0.50,c32,89.17,87.68,82.42,1.86,False
mobilenetv1_0.50,c16,89.4,87.9,81.98,1.25,False
mobilenetv1_0.50,c12,88.56,86.92,81.55,1.15,False
mobilenetv1_0.50,c8,88.73,87.29,81.65,0.85,True
mobilenetv1_0.50,c7,87.97,86.42,80.87,0.82,False
mobilenetv1_0.50,c6,87.78,86.29,79.99,0.79,False
mobilenetv1_0.50,c5,87.79,86.0,80.02,0.77,False
mobilenetv1_0.50,c4,85.79,84.06,76.81,0.55,False
mobilenetv1_0.50,c3,84.6,82.59,74.92,0.52,False
mobilenetv1_0.50,c2,77.33,72.7,60.98,0.3,False
mobilenetv2,float32,91.74,91.04,86.42,11.93,False
mobilenetv2,c256,91.65,90.91,85.92,21.03,False
mobilenetv2,c128,91.84,90.89,85.86,11.69,False
mobilenetv2,c64,92.11,91.21,86.21,6.84,False
