backbone,level,mean_ap_percent,est_size_mb,compression_ratio,selected
mobilenetv1,float32,87.89,15.87,1.00x,False
mobilenetv1,c256,87.98,16.01,0.99x,False
mobilenetv1,c128,87.96,9.53,1.67x,False
mobilenetv1,c64,88.06,6.04,2.63x,False
mobilenetv1,c32,88.05,4.05,3.91x,False
mobilenetv1,c16,87.73,2.81,5.64x,False
mobilenetv1,c12,87.72,2.63,6.04x,False
mobilenetv1,c8,87.63,1.95,8.15x,False
mobilenetv1,c7,87.33,1.9,8.36x,True
mobilenetv1,c6,86.57,1.85,8.57x,False
mobilenetv1,c5,86.92,1.81,8.79x,False
mobilenetv1,c4,85.67,1.27,12.53x,False
mobilenetv1,c3,84.62,1.22,13.01x,False
mobilenetv1,c2,78.69,0.68,23.35x,False
mobilenetv1_0.25,float32,85.3,1.63,1.00x,False
mobilenetv1_0.25,c256,85.61,3.79,0.43x,False
mobilenetv1_0.25,c128,85.68,2.06,0.79x,False
mobilenetv1_0.25,c64,85.43,1.17,1.40x,False
mobilenetv1_0.25,c32,85.06,0.7,2.34x,False
mobilenetv1_0.25,c16,85.09,0.44,3.73x,False
mobilenetv1_0.25,c12,85.31,0.38,4.24x,True
mobilenetv1_0.25,c8,84.17,0.28,5.79x,False
mobilenetv1_0.25,c7,83.9,0.27,6.08x,False
mobilenetv1_0.25,c6,82.36,0.25,6.39x,False
mobilenetv1_0.25,c5,82.68,0.24,6.73x,False
mobilenetv1_0.25,c4,80.83,0.18,9.12x,False
mobilenetv1_0.25,c3,72.51,0.17,9.84x,False
mobilenetv1_0.25,c2,57.49,0.1,15.93x,False
mobilenetv1_0.50,float32,86.54,6.32,1.00x,False
mobilenetv1_0.50,c256,86.69,8.24,0.77x,False
mobilenetv1_0.50,c128,86.44,4.74,1.34x,False
mobilenetv1_0.50,c64,86.35,2.88,2.19x,False
mobilenetv1_0.50,c32,86.42,1.86,3.40x,False
mobilenetv1_0.50,c16,86.43,1.25,5.06x,False
mobilenetv1_0.50,c12,85.68,1.15,5.52x,False
mobilenetv1_0.50,c8,85.89,0.85,7.47x,True
mobilenetv1_0.50,c7,85.09,0.82,7.71x,False
mobilenetv1_0.50,c6,84.68,0.79,7.96x,False
mobilenetv1_0.50,c5,84.6,0.77,8.23x,False
mobilenetv1_0.50,c4,82.22,0.55,11.56x,False
mobilenetv1_0.50,c3,80.7,0.52,12.14x,False
mobilenetv1_0.50,c2,70.34,0.3,21.14x,False
mobilenetv2,float32,89.73,11.93,1.00x,False
mobilenetv2,c256,89.49,21.03,0.57x,False
mobilenetv2,c128,89.53,11.69,1.02x,False
mobilenetv2,c64,89.84,6.84,1.75x,False
mobilenetv2,c32,89.78,4.22,2.82x,False
mobilenetv2,c16,88.78,2.74,4.36x,False
mobilenetv2,c12,88.99,2.45,4.86x,False
mobilenetv2,c8,89.41,1.81,6.61x,False
mobilenetv2,c7,88.95,1.74,6.87x,False
mobilenetv2,c6,89.07,1.67,7.16x,False
mobilenetv2,c5,89.18,1.6,7.48x,True
mobilenetv2,c4,87.72,1.16,10.31x,False
mobilenetv2,c3,86.45,1.09,10.98x,False
mobilenetv2,c2,81.4,0.65,18.40x,False
resnet18,float32,89.67,45.84,1.00x,False
resnet18,c256,90.02,17.46,2.62x,False
resnet18,c128,89.83,13.05,3.51x,False
resnet18,c64,90.06,10.12,4.53x,False
resnet18,c32,90.25,7.95,5.77x,False
resnet18,c16,90.07,6.14,7.46x,False
resnet18,c12,90.15,6.05,7.58x,False
resnet18,c8,90.01,4.53,10.13x,False
resnet18,c7,89.98,4.5,10.18x,False
resnet18,c6,89.79,4.48,10.23x,False
resnet18,c5,89.91,4.46,10.29x,True
resnet18,c4,89.22,3.0,15.27x,False
resnet18,c3,88.43,2.98,15.39x,False
resnet18,c2,84.82,1.52,30.08x,False
resnet34,float32,91.99,84.4,1.00x,False
resnet34,c256,92.05,30.75,2.74x,False
resnet34,c128,92.09,23.32,3.62x,False
resnet34,c64,92.08,18.28,4.62x,False
resnet34,c32,92.04,14.45,5.84x,False
resnet34,c16,91.7,11.21,7.53x,False
resnet34,c12,91.72,11.06,7.63x,False
resnet34,c8,92.02,8.28,10.19x,False
resnet34,c7,91.75,8.24,10.24x,False
resnet34,c6,91.73,8.2,10.29x,False
resnet34,c5,91.5,8.17,10.33x,False
resnet34,c4,91.39,5.49,15.36x,True
resnet34,c3,90.5,5.46,15.47x,False
resnet34,c2,88.78,2.78,30.31x,False
resnet50,float32,92.69,104.12,1.00x,False
resnet50,c256,91.96,54.6,1.91x,True
resnet50,c128,91.78,37.15,2.80x,False
resnet50,c64,91.38,26.8,3.88x,False
resnet50,c32,91.2,20.01,5.20x,False
resnet50,c16,90.99,14.98,6.95x,False
resnet50,c12,90.99,14.54,7.16x,False
resnet50,c8,91.0,10.85,9.60x,False
resnet50,c7,90.55,10.74,9.70x,False
resnet50,c6,90.92,10.63,9.80x,False
resnet50,c5,91.07,10.52,9.90x,False
resnet50,c4,90.17,7.16,14.54x,False
resnet50,c3,89.83,7.05,14.77x,False
resnet50,c2,88.17,3.69,28.21x,False
